Venba,Pathavurai
"அருளவா வான்மே லலந்துபடா துள்ளந்
தெருளவான் மாவாத் திகழும் மருளவாய்
நின்றயா னென்னதெனு நீசமனப் பான்மையறத்
துன்றுகுரு போதச் சுடர்",அருள் அவாவால் மேல் அலந்து படாது உள்ளம் தெருள ஆன்மாவாத் திகழும் மருள் அவாய் நின்ற யான் என்னது எனும் நீச மனப்பான்மை அறத் துன்று குரு போதச் சுடர்
"உடலுருவாப் பேதுற் றுழன்றேனை யூத்தைச்
சடவுருநா னன்றாகத் தள்ளிக் கெடலருமெய்ஞ்
ஞானகுரு வாக நயந்தாண்ட நல்லவருண்
மோனகுரு பாதம் முடி",உடல் உருவாப் பேதுற்று உழன்றேனை ஊத்தைச் சட உரு நான் அன்றாகத் தள்ளிக் கெடல் அரு மெய்ஞ்ஞான குருவாக நயந்து ஆண்ட நல்ல அருள் மோன குரு பாதம் முடி
"மிகவேறு பட்ட விவாதங்கட் கெல்லாந்
தொகவே சமரசமாத் தோன்றத் தகவே
சமர்த்தித்து மெய்ப்பொருளைத் தந்துரைக்கும் போத
சமர்த்தகுரு பாதந் தலை",மிக வேறுபட்ட விவாதங்கட்கு எல்லாம் தொகவே சமரசமாத் தோன்றத் தகவே சமர்த்தித்து மெய்ப்பொருளைத் தந்து உரைக்கும் போத சமர்த்த குரு பாதம் தலை
"தெளிந்த பரமார்த்த தீபமீ துண்மை
ஒளிர்ந்திடக்கா ணாத வுளத்தேன் இளந்தை
அறிவாற் கொளுத்தியதன் றாண்டரம ணன்மூ
தறிவாற் கொளுத்திய தாம்",தெளிந்த பரமார்த்த தீபம் ஈது உண்மை ஒளிர்ந்திடக் காணாத உளத்தேன் இளந்தை அறிவால் கொளுத்தியது அன்று ஆண்ட ரமணன் மூது அறிவால் கொளுத்தியது ஆம்
"ஒளிர்மெய் யுணர்வாக வுள்ளதே தானாக்
கிளர்சொருப மானவருட் கேள்வன் தளர்வறவே
சாற்றியபல் போதனையுட் சார்ந்தசில ஞாபகத்திற்
போற்றியுரைக் கின்றேன் புலத்து",ஒளிர் மெய் உணர்வு ஆக உள்ளதே தானாக் கிளர் சொருபம் ஆன அருள் கேள்வன் தளர்வு அறவே சாற்றிய பல் போதனையுள் சார்ந்த சில ஞாபகத்தில் போற்றி உரைக்கின்றேன் புலத்து
"எங்கிருந் தேரமண னென்னை யணைந்தானோ
வங்கிருந்தே நானுமவ் வாண்டானோ டெங்க
ளொருமித்த வாழ்வி லுணர்ந்தபர மார்த்த
தருமத்தை யோதுவேன் சற்று",எங்கிருந்தே ரமணன் என்னை அணைந்தானோ அங்கிருந்தே நானும் அவ் ஆண்டானோடு எங்கள் ஒருமித்த வாழ்வில் உணர்ந்த பரமார்த்த தருமத்தை ஓதுவேன் சற்று
"முளைத்த வகந்தைமதி மோகமற வென்னைத்
தெளித்த ரமணகுரு தேவன் அளித்தவருட்
பார்வையாற் கண்ட பரமார்த்த பாவமொரு
கோவையாக் கோப்பேன் குறித்து",முளைத்த அகந்தை மதி மோகம் அற என்னைத் தெளித்த ரமண குருதேவன் அளித்த அருள் பார்வையால் கண்ட பரமார்த்த பாவம் ஒரு கோவையாக் கோப்பேன் குறித்து
"அனைத்துமாய் நின்றபர மான்மாவுக் கெய்தல்
எனைத்துமே யின்றா மெனவே மனத்துத்
தருமார்த்த காமச் சலனமறக் காண்டல்
பரமார்த்த தீபப் பயன்",அனைத்துமாய் நின்ற பரமான்மாவுக்கு எய்தல் எனைத்துமே இன்றாம் எனவே மனத்துத் தரும அர்த்த காமச் சலனம் அறக் காண்டல் பரமார்த்த தீபப் பயன்
"சுகசொருப மாகச் சுடருந்தன் மெய்யே
இகபரங்கட் கெல்லா மிடமாம் தகவாற்
கதியெலா மெண்ணிக் கலங்காது தன்னிற்
பதிதலா மிந்நூற் பயன்",சுக சொருபமாகச் சுடரும் தன் மெய்யே இக பரங்கட்கு எல்லாம் இடமாம் தகவால் கதி எலாம் எண்ணிக் கலங்காது தன்னில் பதிதலாம் இந்நூல் பயன்
"சந்தக் குருவா சகக்கோவை தேருங்கால்
மந்த மதிபடைத்த மத்தனேன் புந்தியால்
எண்ணி யிசைத்ததுவன் றெண்ணா திசைப்பித்தோன்
புண்ணியனாம் வேங்கடவன் போன்ம்",சந்தக் குருவாசகக்கோவை தேருங்கால் மந்த மதிபடைத்த மத்தனேன் புந்தியால் எண்ணி இசைத்தது அன்று எண்ணாது இசைப்பித்தோன் புண்ணியனாம் வேங்கடவன் போன்ம்
